2019-01-29,16.49,-95.18,3.7,"OAXACA, MEXICO"
2019-01-29,18.67,-102.72,3.6,"MICHOACAN, MEXICO"
2019-01-29,37.66,20.6,3.1,IONIAN SEA
2019-01-29,16.55,-94.68,3.8,"OAXACA, MEXICO"
2019-01-29,14.59,-94.18,3.9,"OFF COAST OF CHIAPAS, MEXICO"
2019-01-29,15.92,-98.45,3.6,"OFFSHORE OAXACA, MEXICO"
2019-01-29,19.16,-103.75,3.3,"COLIMA, MEXICO"
2019-01-29,-14.85,167.35,4.9,VANUATU
2019-01-29,36.69,-121.31,2.1,CENTRAL CALIFORNIA
2019-01-29,16.02,-96.92,3.3,"OAXACA, MEXICO"
2019-01-29,36.8,21.46,2.4,SOUTHERN GREECE
2019-01-29,37.32,20.74,2.4,IONIAN SEA
2019-01-29,36.61,-121.22,2.1,CENTRAL CALIFORNIA
2019-01-29,-17.98,-178.44,4.3,FIJI REGION
2019-01-29,36.76,-89.48,2.2,SOUTHEASTERN MISSOURI
2019-01-29,1.77,97.55,3.9,"NIAS REGION, INDONESIA"
2019-01-29,37.19,20.58,2.5,IONIAN SEA
2019-01-29,13.1,-92.16,4.4,OFF THE COAST OF GUATEMALA
2019-01-29,42.49,13.13,2.0,CENTRAL ITALY
2019-01-29,19.37,-155.25,2.0,"ISLAND OF HAWAII, HAWAII"
2019-01-29,3.73,96.87,3.9,"NORTHERN SUMATRA, INDONESIA"
2019-01-29,37.14,27.73,2.3,WESTERN TURKEY
2019-01-29,39.83,-29.28,3.0,"AZORES ISLANDS, PORTUGAL"
2019-01-29,40.28,71.2,3.9,KYRGYZSTAN
2019-01-29,34.59,45.27,3.7,IRAN-IRAQ BORDER REGION
2019-01-29,34.52,45.24,3.5,IRAN-IRAQ BORDER REGION
2019-01-29,34.52,45.24,3.5,IRAN-IRAQ BORDER REGION
2019-01-29,18.3,-103.19,4.1,"MICHOACAN, MEXICO"
2019-01-29,39.66,69.77,3.9,KYRGYZSTAN
2019-01-29,-10.54,119.1,4.1,"SUMBA REGION, INDONESIA"
2019-01-29,5.13,125.77,4.6,"MINDANAO, PHILIPPINES"
2019-01-29,34.31,45.11,3.9,IRAN-IRAQ BORDER REGION
2019-01-29,40.1,71.64,3.2,KYRGYZSTAN
2019-01-29,38.81,-122.78,2.3,NORTHERN CALIFORNIA
2019-01-29,38.76,38.16,2.4,EASTERN TURKEY
2019-01-29,40.24,39.57,2.3,EASTERN TURKEY
2019-01-29,19.41,-155.27,2.1,"ISLAND OF HAWAII, HAWAII"
2019-01-29,40.18,75.03,3.0,"SOUTHERN XINJIANG, CHINA"
